,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode
160,House,"2464 Arctic Fox Way, Reston, VA 20191",5,3.5,3695,Reston,VA,20191
161,Townhouse,"6022 Westbourne Place, Centreville, VA 20120",3,3.5,2495,Centreville,VA,20120
162,Townhouse,"14621 Stream Pond Dr, Centreville, VA 20120",4,3.5,2899,Centreville,VA,20120
163,House,"2003 Windmill Ln, Alexandria, VA 22307",5,3.5,5000,Alexandria,VA,22307
164,Townhouse,"6398 Dakine Cir, Springfield, VA 22150",3,5.0,3100,Springfield,VA,22150
165,House,"10116 Garrett St, Vienna, VA 22181",4,2.5,3225,Vienna,VA,22181
166,Townhouse,"4227 Moselle Dr, Chantilly, VA 20151",4,3.0,2550,Chantilly,VA,20151
167,House,"4609 Deming Ave, Alexandria, VA 22312",5,2.5,3350,Alexandria,VA,22312
168,Townhouse,"2653 Park Tower Dr Unit 5/110, Vienna, VA 22180",2,2.5,2800,Vienna,VA,22180
169,House,"1125 Basil Rd, McLean, VA 22101",5,5.0,12000,McLean,VA,22101
170,House,"7531 Fisher Dr, Falls Church, VA 22043",6,5.5,5700,Falls Church,VA,22043
171,House,"5997 Clerkenwell Ct, Burke, VA 22015",3,2.5,2800,Burke,VA,22015
172,House,"8412 Leaf Rd, Alexandria, VA 22309",3,2.0,3180,Alexandria,VA,22309
173,House,"610 Meadow Ln SW, Vienna, VA 22180",6,5.5,6200,Vienna,VA,22180
174,House,"6805 Glenmont St, Falls Church, VA 22042",3,2.0,3500,Falls Church,VA,22042
175,Townhouse,"13349 Shea Place, Herndon, VA 20170",2,1.5,2200,Herndon,VA,20170
176,Townhouse,"6388 Stagg Ct, Springfield, VA 22150",4,3.5,3000,Springfield,VA,22150
177,Townhouse,"14496 Cool Oak Ln, Centreville, VA 20121",3,1.5,2400,Centreville,VA,20121
178,House,"12925 Wheatland Rd, Fairfax, VA 22033",4,3.5,4100,Fairfax,VA,22033
179,House,"9731 Loch Linden Ct, Fairfax, VA 22032",4,2.5,4000,Fairfax,VA,22032
180,House,"1501 Shenandoah Rd, Alexandria, VA 22308",6,4.5,7250,Alexandria,VA,22308
181,House,"1118 Collingwood Rd, Alexandria, VA 22308",4,3.0,4650,Alexandria,VA,22308
182,House,"4021 Oxford St, Annandale, VA 22003",4,3.0,3550,Annandale,VA,22003
183,House,"1642 Evers Dr, McLean, VA 22101",3,2.5,4100,McLean,VA,22101
184,House,"3139 Barbara Ln, Fairfax, VA 22031",5,2.0,3650,Fairfax,VA,22031
