,Title,Address,Bedroom,Bathroom,Price
28,Townhouse for Rent,"1540 Levis St NE Unit B, Washington, DC 20002",4,3.5,4000 per month
29,Townhouse for Rent,"3617 18th St NE, Washington, DC 20018",3,2.5,3200 per month
30,Townhouse for Rent,"1020 Massachusetts Ave NE Unit A, Washington, DC 20002",3,3.5,5500 per month
31,House for Rent,"2711 Wisconsin Ave NW, Washington, DC 20007",3,4.0,4950 per month
32,Townhouse for Rent,"1410 Perry Place NW, Washington, DC 20010",3,3.0,4100 per month
33,Townhouse for Rent,"61 Rhode Island Ave NW, Washington, DC 20001",2,Na,2200 per month
34,Townhouse for Rent,"3337 Idaho Ave NW, Washington, DC 20016",3,2.5,8978 per month
35,Townhouse for Rent,"915 5th St SE, Washington, DC 20003",2,1.5,3650 per month
36,House for Rent,"4016 21st St NE, Washington, DC 20018",3,Na,3500 per month
37,House for Rent,"3020 P St SE, Washington, DC 20020",4,3.0,3300 per month
38,House for Rent,"136 Wilmington Place SE, Washington, DC 20032",4,2.5,3100 per month
39,House for Rent,"1620 21st Place SE Unit 3, Washington, DC 20020",3,Na,2008 per month
40,House for Rent,"4009 Van Ness St NW, Washington, DC 20016",6,5.0,9500 per month
41,Townhouse for Rent,"760 Princeton Place NW, Washington, DC 20010",3,2.0,3500 per month
42,Townhouse for Rent,"1922 D St NE, Washington, DC 20002",3,2.0,3200 per month
43,Townhouse for Rent,"79 O St NW Unit 201, Washington, DC 20001",2,Na,1800 per month
44,Townhouse for Rent,"1425 5th St NW Unit 1, Washington, DC 20001",2,Na,2985 per month
45,Townhouse for Rent,"706 10th St NE, Washington, DC 20002",3,2.5,4000 per month
46,House for Rent,"6626 31st St NW, Washington, DC 20015",4,3.0,5500 per month
47,Townhouse for Rent,"1601 5th St NW Unit B, Washington, DC 20001",4,4.5,8000 per month
48,Townhouse for Rent,"117 15th St SE, Washington, DC 20003",4,2.5,4500 per month
49,Townhouse for Rent,"310 T St NE Unit UPPER, Washington, DC 20002",3,2.5,4100 per month
50,Townhouse for Rent,"2012 2nd St NW, Washington, DC 20001",3,2.5,4300 per month
