,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
123,Townhouse,"1119 Moorefield Hill Ct SW, Vienna, VA 22180",3,2.5,3000,Vienna,VA,22180,38.8963,-77.2541
124,House,"113 Kingsley Rd SW, Vienna, VA 22180",4,2.0,3400,Vienna,VA,22180,38.8963,-77.2541
125,House,"530 Lincoln St NW, Vienna, VA 22180",4,2.0,2995,Vienna,VA,22180,38.8963,-77.2541
126,House,"903 Timber Ln SW, Vienna, VA 22180",3,2.0,3500,Vienna,VA,22180,38.8963,-77.2541
127,House,"2626 Bowling Green Dr, Vienna, VA 22180",3,3.0,3400,Vienna,VA,22180,38.8963,-77.2541
128,House,"905 Shady Dr SE, Vienna, VA 22180",4,3.0,3250,Vienna,VA,22180,38.8963,-77.2541
129,Townhouse,"2827 Grovemore Ln, Vienna, VA 22180",3,3.5,3000,Vienna,VA,22180,38.8963,-77.2541
130,Townhouse,"2748 Manhattan Place, Vienna, VA 22180",4,3.5,3400,Vienna,VA,22180,38.8963,-77.2541
131,Townhouse,"3873 Billberry Dr, Fairfax, VA 22033",4,3.5,4500,Fairfax,VA,22033,38.8757,-77.3859
132,Townhouse,"13327 Foxhole Dr, Fairfax, VA 22033",3,3.5,2750,Fairfax,VA,22033,38.8757,-77.3859
133,Townhouse,"4016 Rosemeade Dr, Fairfax, VA 22033",3,3.5,3000,Fairfax,VA,22033,38.8757,-77.3859
134,House,"12925 Wheatland Rd, Fairfax, VA 22033",4,3.5,4100,Fairfax,VA,22033,38.8757,-77.3859
135,Townhouse,"4275 Sleepy Lake Dr, Fairfax, VA 22033",3,4.0,2990,Fairfax,VA,22033,38.8757,-77.3859
136,Townhouse,"3621 Buckeye Ct, Fairfax, VA 22033",4,3.5,2650,Fairfax,VA,22033,38.8757,-77.3859
137,Townhouse,"4396 Fair Lakes Ct, Fairfax, VA 22033",3,3.5,3850,Fairfax,VA,22033,38.8757,-77.3859
138,Townhouse,"4614 Hummingbird Way Unit 99, Fairfax, VA 22033",3,2.5,2400,Fairfax,VA,22033,38.8757,-77.3859
139,House,"4410 Midstone Ln, Fairfax, VA 22033",4,2.0,3200,Fairfax,VA,22033,38.8757,-77.3859
140,Townhouse,"3700 Sudley Ford Ct, Fairfax, VA 22033",3,2.0,2425,Fairfax,VA,22033,38.8757,-77.3859
141,Townhouse,"4418 Fair Lakes Ct, Chantilly, VA 22033",3,3.5,3800,Chantilly,VA,22033,38.8757,-77.3859
142,Townhouse,"3803 Inverness Rd, Fairfax, VA 22033",3,3.5,2900,Fairfax,VA,22033,38.8757,-77.3859
143,Townhouse,"13134 Quail Creek Ln, Fairfax, VA 22033",4,3.5,2800,Fairfax,VA,22033,38.8757,-77.3859
144,Townhouse,"3913 Kathryn Jean Ct, Fairfax, VA 22033",3,3.5,3700,Fairfax,VA,22033,38.8757,-77.3859
145,House,"10610 Cavalcade St, Great Falls, VA 22066",3,2.5,3050,Great Falls,VA,22066,39.0101,-77.3026
146,House,"636 Walker Rd, Great Falls, VA 22066",4,2.0,3750,Great Falls,VA,22066,39.0101,-77.3026
147,House,"1008 Kimberly Place, Great Falls, VA 22066",4,4.5,6500,Great Falls,VA,22066,39.0101,-77.3026
148,House,"10311 Hickory Creek Ct, Great Falls, VA 22066",4,3.5,6000,Great Falls,VA,22066,39.0101,-77.3026
149,House,"11002 Warwickshire Dr, Great Falls, VA 22066",4,2.5,4750,Great Falls,VA,22066,39.0101,-77.3026
150,House,"709 Ellsworth Ave, Great Falls, VA 22066",3,2.0,3500,Great Falls,VA,22066,39.0101,-77.3026
151,Townhouse,"2816 Kelly Square, Vienna, VA 22181",3,3.5,3200,Vienna,VA,22181,38.9067,-77.2958
152,House,"2440 Carey Ln, Vienna, VA 22181",4,4.0,4850,Vienna,VA,22181,38.9067,-77.2958
153,House,"9810 Meadow Dale Ct, Vienna, VA 22181",4,2.5,3900,Vienna,VA,22181,38.9067,-77.2958
154,Townhouse,"9419 Colonade Dr, Vienna, VA 22181",3,4.0,3650,Vienna,VA,22181,38.9067,-77.2958
155,Townhouse,"9669 Scotch Haven Dr, Vienna, VA 22181",3,4.0,3400,Vienna,VA,22181,38.9067,-77.2958
156,House,"10116 Garrett St, Vienna, VA 22181",4,2.5,3225,Vienna,VA,22181,38.9067,-77.2958
157,Townhouse,"2810 Roesh Way, Vienna, VA 22181",3,3.5,3500,Vienna,VA,22181,38.9067,-77.2958
158,Townhouse,"9445 Van Arsdale Dr, Vienna, VA 22181",3,3.5,3400,Vienna,VA,22181,38.9067,-77.2958
159,Townhouse,"9803 Sweet Mint Dr, Vienna, VA 22181",3,3.5,2495,Vienna,VA,22181,38.9067,-77.2958
160,Townhouse,"3080 Sugar Ln, Vienna, VA 22181",4,3.5,2900,Vienna,VA,22181,38.9067,-77.2958
161,House,"2120 Docket Ln, Vienna, VA 22181",4,2.5,3850,Vienna,VA,22181,38.9067,-77.2958
162,Townhouse,"9915 Trosby Ct, Vienna, VA 22181",4,3.5,4300,Vienna,VA,22181,38.9067,-77.2958
163,Townhouse,"9655 Motley Ln, Vienna, VA 22181",3,2.5,3200,Vienna,VA,22181,38.9067,-77.2958
164,Townhouse,"9463 Canonbury Square, Fairfax, VA 22031",4,3.5,3750,Fairfax,VA,22031,38.8603,-77.2591
165,House,"3816 Ridgelea Dr, Fairfax, VA 22031",4,3.5,3800,Fairfax,VA,22031,38.8603,-77.2591
166,Townhouse,"3020 Southern Elm Ct, Fairfax, VA 22031",4,3.5,3200,Fairfax,VA,22031,38.8603,-77.2591
167,Townhouse,"2926 Mainstone Dr, Fairfax, VA 22031",3,4.0,4000,Fairfax,VA,22031,38.8603,-77.2591
168,Townhouse,"9350 Sweetbay Magnolia Ct, Fairfax, VA 22031",3,3.5,4100,Fairfax,VA,22031,38.8603,-77.2591
169,Townhouse,"9523 Poplar Leaf Ct, Fairfax, VA 22031",3,2.5,2750,Fairfax,VA,22031,38.8603,-77.2591
170,House,"3130 Chichester Ln, Fairfax, VA 22031",3,2.0,3500,Fairfax,VA,22031,38.8603,-77.2591
171,Townhouse,"2978 Thompson Park Ln, Fairfax, VA 22031",3,3.5,3600,Fairfax,VA,22031,38.8603,-77.2591
172,Townhouse,"3043 Talking Rock Dr, Fairfax, VA 22031",3,3.5,2600,Fairfax,VA,22031,38.8603,-77.2591
173,Townhouse,"2909 Mainstone Dr, Fairfax, VA 22031",3,2.0,3950,Fairfax,VA,22031,38.8603,-77.2591
174,Townhouse,"9070 Arlington Blvd, Fairfax, VA 22031",3,2.5,2550,Fairfax,VA,22031,38.8603,-77.2591
175,Townhouse,"3191 Readsborough Ct, Fairfax, VA 22031",3,4.0,3000,Fairfax,VA,22031,38.8603,-77.2591
176,House,"6464 Third St, Alexandria, VA 22312",3,3.5,2650,Alexandria,VA,22312,38.8177,-77.1538
177,Townhouse,"6327 Summer Moon Ln, Alexandria, VA 22312",4,2.5,3300,Alexandria,VA,22312,38.8177,-77.1538
178,Townhouse,"5265 Broadwing Place, Alexandria, VA 22312",4,3.5,3500,Alexandria,VA,22312,38.8177,-77.1538
179,Townhouse,"6227 Split Creek Ln, Alexandria, VA 22312",3,4.0,3295,Alexandria,VA,22312,38.8177,-77.1538
180,House,"6439 Overlook Dr, Alexandria, VA 22312",4,2.0,3500,Alexandria,VA,22312,38.8177,-77.1538
181,House,"6325 Oak Ridge Dr, Alexandria, VA 22312",3,2.5,3300,Alexandria,VA,22312,38.8177,-77.1538
182,Townhouse,"6584 Irvin Ct, Alexandria, VA 22312",3,4.0,3200,Alexandria,VA,22312,38.8177,-77.1538
183,House,"6349 Pima St, Alexandria, VA 22312",4,4.0,3700,Alexandria,VA,22312,38.8177,-77.1538
184,House,"6316 Bren Mar Dr, Alexandria, VA 22312",4,2.0,3000,Alexandria,VA,22312,38.8177,-77.1538
185,Townhouse,"6490 Powatan Knoll Ct, Alexandria, VA 22312",3,3.5,3600,Alexandria,VA,22312,38.8177,-77.1538
186,House,"14509 William Carr Ln, Centreville, VA 20120",3,2.5,3000,Centreville,VA,20120,38.8543,-77.4776
187,Townhouse,"14634 Battery Ridge Ln, Centreville, VA 20120",3,3.5,2700,Centreville,VA,20120,38.8543,-77.4776
188,Townhouse,"5848 Watermark Cir, Centreville, VA 20120",3,4.0,3000,Centreville,VA,20120,38.8543,-77.4776
189,Townhouse,"6167 Stonepath Cir, Centreville, VA 20120",3,3.0,2600,Centreville,VA,20120,38.8543,-77.4776
190,Townhouse,"5035 Cool Fountain Ln, Centreville, VA 20120",3,4.0,2800,Centreville,VA,20120,38.8543,-77.4776
191,Townhouse,"6022 Westbourne Place, Centreville, VA 20120",3,3.5,2495,Centreville,VA,20120,38.8543,-77.4776
192,Townhouse,"14621 Stream Pond Dr, Centreville, VA 20120",4,3.5,2899,Centreville,VA,20120,38.8543,-77.4776
193,Townhouse,"14840 Lynhodge Ct, Centreville, VA 20120",3,2.0,2300,Centreville,VA,20120,38.8543,-77.4776
194,Townhouse,"5032 Greenhouse Terrace, Centreville, VA 20120",3,4.0,3000,Centreville,VA,20120,38.8543,-77.4776
195,Townhouse,"13548 Mist Flower Dr, Centreville, VA 20120",3,2.5,2699,Centreville,VA,20120,38.8543,-77.4776
196,Townhouse,"13611 Lavender Mist Ln, Centreville, VA 20120",4,3.5,2900,Centreville,VA,20120,38.8543,-77.4776
