,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
169,Townhouse,"2850 Great Oak Ct, Falls Church, VA 22042",3,4.0,3500,Falls Church,VA,22042,38.865,-77.193
170,House,"3506 Beverly Dr, Annandale, VA 22003",4,3.0,3800,Annandale,VA,22003,38.8308,-77.2142
171,Townhouse,"3690 Yorktown Village Pass, Annandale, VA 22003",3,4.0,3000,Annandale,VA,22003,38.8308,-77.2142
172,Townhouse,"3403 Wheatwheel Ln, Annandale, VA 22003",3,3.5,2900,Annandale,VA,22003,38.8308,-77.2142
173,House,"7815 Bristow Dr, Annandale, VA 22003",4,2.0,3600,Annandale,VA,22003,38.8308,-77.2142
174,Townhouse,"7718 Lafayette Forest Dr Unit 11, Annandale, VA 22003",2,2.0,2200,Annandale,VA,22003,38.8308,-77.2142
175,House,"8206 Light Horse Ct, Annandale, VA 22003",5,3.0,4200,Annandale,VA,22003,38.8308,-77.2142
176,House,"4607 Exeter St, Annandale, VA 22003",4,3.5,3400,Annandale,VA,22003,38.8308,-77.2142
177,House,"4021 Oxford St, Annandale, VA 22003",4,3.0,3550,Annandale,VA,22003,38.8308,-77.2142
178,Townhouse,"4503 King Edward Ct, Annandale, VA 22003",4,3.5,3500,Annandale,VA,22003,38.8308,-77.2142
179,Townhouse,"8311 Highcliffe Ct, Annandale, VA 22003",3,4.0,2850,Annandale,VA,22003,38.8308,-77.2142
180,Townhouse,"4584 Conwell Dr, Annandale, VA 22003",3,2.0,2695,Annandale,VA,22003,38.8308,-77.2142
181,Townhouse,"6848 Perry Penney Dr, Annandale, VA 22003",2,2.0,2100,Annandale,VA,22003,38.8308,-77.2142
182,House,"7203 Statecrest Dr, Annandale, VA 22003",4,3.0,3300,Annandale,VA,22003,38.8308,-77.2142
183,Townhouse,"6768 Perry Penney Dr Unit 108, Annandale, VA 22003",3,2.0,2600,Annandale,VA,22003,38.8308,-77.2142
184,House,"4018 Annandale Rd, Annandale, VA 22003",5,4.5,5890,Annandale,VA,22003,38.8308,-77.2142
185,House,"855 Nicholas Run Dr, Great Falls, VA 22066",7,9.0,14000,Great Falls,VA,22066,39.0101,-77.3026
186,House,"10610 Cavalcade St, Great Falls, VA 22066",3,2.5,3050,Great Falls,VA,22066,39.0101,-77.3026
187,House,"636 Walker Rd, Great Falls, VA 22066",4,2.0,3750,Great Falls,VA,22066,39.0101,-77.3026
188,House,"1008 Kimberly Place, Great Falls, VA 22066",4,4.5,6500,Great Falls,VA,22066,39.0101,-77.3026
189,House,"634 Springvale Rd, Great Falls, VA 22066",5,3.5,7200,Great Falls,VA,22066,39.0101,-77.3026
190,House,"10311 Hickory Creek Ct, Great Falls, VA 22066",4,3.5,6000,Great Falls,VA,22066,39.0101,-77.3026
191,House,"11002 Warwickshire Dr, Great Falls, VA 22066",4,2.5,4750,Great Falls,VA,22066,39.0101,-77.3026
192,House,"11560 Holly Briar Ln, Great Falls, VA 22066",6,4.5,5350,Great Falls,VA,22066,39.0101,-77.3026
193,House,"1159 Mill Garden Ct, Great Falls, VA 22066",6,6.5,8000,Great Falls,VA,22066,39.0101,-77.3026
194,House,"709 Ellsworth Ave, Great Falls, VA 22066",3,2.0,3500,Great Falls,VA,22066,39.0101,-77.3026
